办事处	bạn sự xứ
审判长	thẩm phán trưởng
班长	ban trưởng
本我	bản ngã
本体	bản thể
变数	biến số
部长	bộ trưởng
格斗	cách đấu
感应	cảm ứng
乾坤	càn khôn
高层	cao tầng
战斗	chiến đấu
战将	chiến tướng
主任	chủ nhiệm
掌柜	chưởng quỹ
公司	công ti
基本	cơ bản
局长	cục trưởng
异种	dị chủng
代号	đại hiệu
大将	đại tướng
道号	đạo hiệu
道长	đạo trưởng
斗气	đấu khí
斗士	đấu sĩ
点数	điểm số
团长	đoàn trưởng
队长	đội trưởng
诸葛	Gia Cát
监督	giám đốc
监察	giám sát
现任	hiện nhiệm
校长	hiệu trưởng
学长	học trưởng
会长	hội trưởng
兄长	huynh trưởng
虚数	hư số
乡长	hương trưởng
剧本	kịch bản
惊奇	kinh kỳ
骑行	kỵ hành
灵长	linh trưởng
命数	mệnh số
美丽	mĩ lệ
议长	nghị trưởng
外号	ngoại hiệu
任务	nhiệm vụ
奴仆	nô bộc
女仆	nữ bộc
玻璃	pha lê
飞行	phi hành
副本	phó bản
封号	phong hiệu
服从	phục tùng
层次	tầng thứ
成长	thành trưởng
施主	thí chủ
刺客	thích khách
刺杀	thích sát
刺史	thích sử
天使	thiên sứ
禅师	thiền sư
少爷	thiếu gia
少校	thiếu hiệu
少年	thiếu niên
少女	thiếu nữ
少妇	thiếu phụ
时期	thời kỳ
上将	thượng tướng
比武	tỉ võ
族长	tộc trưởng
传奇	truyền kỳ
长辈	trưởng bối
长老	trưởng lão
长官	trưởng quan
长孙	trưởng tôn
长子	trưởng tử
将领	tướng lĩnh
将军	tướng quân
将士	tướng sĩ
院长	viện trưởng
武斗	võ đấu
武馆	võ quán
武夫	võ phu
武士	võ sĩ
武师	võ sư
武圣	võ thánh
无数	vô số
称号	xưng hiệu
